tonie_id,title,figure,description,runtime,age_recommendation,image
14,Seemannsgarn,Käpt'n Blaubär,"Der sympathischste Lügenbär aller ZeitenKäpt‘n Blaubär erzählt seinen Enkeln nicht einfach nur Geschichten – er erfindet sie. Dabei ist er so kreativ und humorvoll, dass Legenden entstehen. Das spannende Spiel um Wahrheit oder Lüge betreibt der Seefahrer im Ruhestand zwar in Perfektion, er wird aber regelmäßig von seinen cleveren Enkeln des Lügens überführt. Nichtsdestotrotz lassen sich seine kleinen und großen Zuhörer begeistert auf exotische Reisen und in ferne Länder entführen.",ca. 50 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10001409-50004888-b-lFs2YNLv.png"
15,Oh Yeah!,DIKKA,"Rap für Erwachsene? Kann doch jedes Kind! Und ein ganz bestimmtes Nashorn kann das auch: DIKKA – das rappende Rhinozeros kommt auf seinem Debütalbum „Oh Yeah!“ mit jeder Menge wilder, frecher und lustiger Songs für starke Kinder. Groß, grau, gutgelaunt, mit dickem Bauch und ordentlich was in der Birne stellt DIKKA sich dabei nicht auf die Seite der Eltern, sondern nimmt die kleinen Hörer an die Hand und geht gemeinsam mit ihnen mal den wirklich wichtigen Fragen des Lebens nach.",ca. 36 Minuten,Ab 5 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10001685-50005326-b-HvtMeNAM.png"
16,[EN] George Pig,Peppa Pig,"I speak English! Ich bin ein Tonie in englischer Sprache! Peppa Pig ist zurück mit zehn aufregenden neuen Abenteuern, die Ihre Kinder im Vorschulalter lieben werden. Begleiten Sie Peppa, George und ihre Familie und Freunde mit dieser neuen Audiosammlung, die eine vollständige Besetzung bekannter Stimmen, Musik und Spezialeffekte aus der TV-Serie Peppa Pig enthält.",ca. 59 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10001231-50003758-b-ixcv5do-.png"
17,Die Waschbären sind los,Bibi & Tina,"Bibi, Tina und Alexander entdecken am Mühlenbach ein paar Waschbären, die ihnen auf den Martinshof folgen. Dort richten sie allerhand Unsinn an. Dennoch bittet der Förster Frau Martin darum, die Tiere zu beherbergen, bis er weiß, woher sie gekommen sind. Bibi und Tina übernehmen die Betreuung. Aber das ist gar nicht so einfach!",ca. 40 Minuten,Ab 6 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0114-98-0338-b-fM8SKAgm.png"
18,Tierlieder,Lieblings-Kinderlieder,"Die besten Tierlieder - neu interpretiert und aufgefrischt!Ob auf der Mauer lauernde Wanzen, summende Bienen oder Affen, die durch den Wald rasen. Natürlich sind sie alle dabei, wenn das Kinderzimmer kurzeitig zum tanzenden Zoo wird oder man die Band mal eben mit auf Safari nehmen muss.22 Songs, also knapp 50 Minuten der bekannten Tierlieder ganz neu eingespielt mit den Minimusikern",ca. 53 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10001258-50003833-b--eXCs2PPc.png"
19,Das Original-Hörspiel zu den Büchern 2,Leo Lausemaus,"Die kleine Maus mit großem HerzenSei dabei, wenn Leo Lausemaus vier neue Abenteuer erlebt. Du hörst, weshalb er nicht in den Kindergarten will und was geschieht, als seine Mama eines Tages zur Arbeit geht. Obendrein erfährst du, wie es für Leo ist, allein bei den Großeltern zu sein, und warum er sich ein Geschwisterchen wünscht.Viel Spaß!",ca. 50 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0157-98-0499-b-2I-P8TJExeT.png"
20,Volle Mähne!,Die Haferhorde,"Endlich bekommt Schoko Superpony Verstärkung: von seinem besten Freund Keks. Die beiden genießen das Leben auf dem Blümchenhof zwischen Hafer, Heu und Ausritten mit Lotte und Greta. Doch dann kommt die Chefin auf eine Idee, die den beiden Ponys gar nicht gefällt: sie plant eine Schnupper-Reitstunde.",ca. 121 Minuten,Ab 8 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0154-98-0464-b-w14AntYG.png"
21,Pinocchio und 4 weitere Klassiker,Lieblings-Klassiker,"Fünf beliebte Klassiker der KinderliteraturAuf Daumengröße geschrumpft reist Nils Holgersson mit den Wildgänsen durch ganz Schweden. Hier trifft er viele verschiedene Tiere und erkennt, dass alle Lebewesen ein gutes Leben verdienen. Ach du Schreck, ein sprechender Holzklotz. Unter den Händen des Holzschnitzers Geppetto entsteht eine liebenswert-freche Holzfigur, die ihm als Erstes einfach die Zunge herausstreckt: Pinocchio. Neugierig folgt Alice einem seltsamen Kaninchen. Dabei stürzt sie plötzlich in ein Loch – sie fällt und fällt und fällt ... Wo wird sie bloß landen?Mowgli und seine Freunde Bagheera, Baloo und Kaa möchten eigentlich nur einen gemütlichen Tag im Dschungel verbringen. Aber ein kleines Äffchen macht ihnen einen Strich durch die Rechnung.Nach einem gewaltigen Sturm findet Dorothy sich in einem fremden Land wieder. Dort trifft sie auf den Strohmann, den Blechmann und den Löwen. Gemeinsam gehen sie zum Zauberer von Oz, denn er soll Dorothy den Weg zurück nach Hause zeigen können.",ca. 56 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0120-98-0343-b-Q1howk5T.png"
22,Die Schule der magischen Tiere,Die Schule der magischen Tiere,"Diese Schule birgt ein Geheimnis: Wer Glück hat,  findet hier den besten Freund, den es auf der Welt gibt. Ein magisches Tier, das sprechen kann! Wenn es zu dir gehört ...Der schüchterne Benni ist aufgeregt. Ausgerechnet ER soll ein magisches Tier bekommen, einen besten Freund, der immer hilft und mit dem man sprechen kann! Aber statt des wilden Raubtieres, das sich Benni gewünscht hat, blinzelt ihn Henrietta, die Schildkröte, aus ihrem Schuhkarton an ... Auch Ida hat ein magisches Tier bekommen. Ihr Fuchs Rabbat wird sofort ihr bester Freund! Endlich jemand zum Reden über das ätzende Referat mit dem langweiligen Benni oder über den coolen Jo, in den Ida ein bisschen verliebt ist ... Wie alles begann ... Die spannende Hörspielfassung des ersten Bandes der beliebten Bestseller-Reihe von Margit Auer!",ca. 82 Minuten,Ab 7 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0100-98-0322-b-FrJN465A.png"
23,(M)auserlesene Lieder,Maus,"Sie ist orange, zeitlos und wenn sie die Welt erklärt, zieht sie alle Kinder in ihren Bann. Die Maus – unverwechselbar, neugierig und ganz schön clever! Sie präsentiert auf diesem Tonie die schönsten Lieder aus Deutschlands beliebter Kindersendung.",ca. 40 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0006-b-VBRoor9F.png"
24,Der verschwundene Pokal,Bibi & Tina,"Bibi, Tina und Frau Martin sehen sich auf dem Hof nach alten, unnützen Dingen um, denn Trödel-Hannes ist auf Sammel-Tour. Da gerät Tinas Mutter ihr erster Turnierpokal in die Hände, den sie natürlich niemals weggeben würde. Weil er etwas ramponiert ist, stellt sie ihn Holger zum Reparieren hin. Doch plötzlich ist der Pokal verschwunden!",ca. 37 Minuten,Ab 6 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0113-98-0337-b-P72oTyl_.png"
25,Ein Geburtstagsfest für Lieselotte und andere Geschichten,Lieselotte,"Diese Kuh macht einfach glücklich! Die Kuh Lieselotte hat es manchmal ganz schön schwer: Sie hat Geburtstag, aber niemand auf dem Bauernhof scheint davon Notiz zu nehmen. Oder sie wird krank und muss das Stroh hüten, während die anderen Tiere draußen Drachen steigen lassen. Oder ein Paket der Bäuerin geht verloren, das Lieselotte transportieren sollte ...Wer Lieselotte kennt, der weiß, dass die kleinen Tücken des Alltags für viele lustige Turbulenzen sorgen und dass am Ende doch alles gut wird.",ca. 57 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0127-98-0349-b-wNXyNeLt.png"
26,Die besten Spiel- und Bewegungslieder,Lichterkinder,"Jedes Kind auf der Welt ist ein Lichterkind„Der Körperteil Blues“ von Lichterkinder, wer kennt ihn nicht? Mit mehr als 40 Millionen Aufrufen bei YouTube ist das Lied der neue Hit in den Kitas und Kinderzimmern Deutschlands! „Lichterkinder“ steht für neue, frische und moderne Kinderlieder, die Spaß machen und gleichzeitig auf spielerische Art und Weise Lerninhalte und Werte vermitteln. Auf mittlerweile 7 Lichterkinder Alben sind die Kinder selbst der Star. Gesungen und präsentiert werden die Lieder auf Augenhöhe von Kindern für Kinder. Jeder kann mitsingen und mitmachen, denn: Jedes Kind auf der Welt ist ein Lichterkind!Das Album Lichterkinder – Die besten Spiel- und Bewegungslieder ist exklusiv als Tonie erhältlich und eine spezielle Zusammenstellung der größten Hits der Lichterkinder. Und obendrauf gibt es nur in dieser Sammlung als Extratitel das Lied „Liki & die Tonies“!",ca. 50 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000492-50001549-b-bUCDWsVq.png"
27,Die Reise zum Großvater,Heidi,"Heidi ist aufgeregt. Morgen wird sie zu ihrem Großvater in die Berge ziehen. Er lebt auf einer Alm zwischen bunten Wiesen und schneebedeckten Gipfeln. Es ist wunderschön dort. Doch der Alm-Öhi, wie die Dorfbewohner den Großvater nennen, ist es nicht gewohnt, Besuch zu haben. Er spricht kaum ein Wort mit Heidi. Mit den Tieren auf der Alm schließt sie dagegen schon am ersten Tag Freundschaft …",ca. 60 Minuten,Ab 5 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0032-98-0108-b-Sdcz5OyY.png"
